2023-11-13 01:49:11.407 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2023-11-13 01:49:11.407 [info] Added views:workbench.panel.output in workbench.panel.output
2023-11-13 01:49:11.407 [info] Added views:terminal in terminal
2023-11-13 01:49:11.407 [info] Added views:outline in workbench.view.explorer
2023-11-13 01:49:11.407 [info] Added views:workbench.scm in workbench.view.scm
2023-11-13 01:49:11.407 [info] Added views:workbench.view.search in workbench.view.search
2023-11-13 01:49:11.407 [info] Added views:timeline in workbench.view.explorer
2023-11-13 01:49:11.407 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2023-11-13 01:49:13.291 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-11-13 01:49:13.611 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2023-11-13 01:49:14.348 [info] Added views:workbench.view.testing in workbench.view.extension.test
2023-11-13 01:49:14.528 [info] Added views:dartDependencyTree in workbench.view.explorer
2023-11-13 01:49:14.744 [info] Added views:dartFlutterOutline in workbench.view.extension.flutter
2023-11-13 01:49:17.900 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2023-11-13 01:57:41.559 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2023-11-13 01:57:42.232 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-11-13 01:57:42.285 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-11-13 02:27:00.324 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-11-13 02:27:00.476 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-11-13 02:36:01.930 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-11-13 02:36:01.973 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-11-13 02:59:41.669 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-11-13 02:59:41.685 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-11-13 03:04:31.488 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-11-13 03:04:31.520 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-11-13 03:32:06.310 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-11-13 03:32:06.321 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-11-13 03:32:09.668 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-11-13 03:32:09.703 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-11-13 04:09:33.498 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-11-13 04:09:33.519 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-11-13 04:17:05.880 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-11-13 04:17:05.917 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-11-13 04:19:07.903 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-11-13 04:19:07.927 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-11-13 04:19:14.500 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-11-13 04:19:14.526 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-11-13 04:20:12.911 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-11-13 04:20:12.974 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-11-13 04:20:25.722 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-11-13 04:20:25.747 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-11-13 04:21:52.030 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-11-13 04:21:52.040 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-11-13 04:23:04.708 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2023-11-13 04:23:04.743 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView in workbench.view.debug
2023-11-13 04:26:53.655 [info] Removed views:workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2023-11-13 04:26:53.668 [info] Added views:workbench.debug.welcome in workbench.view.debug
2023-11-13 04:28:11.194 [info] Removed views:workbench.view.testing from workbench.view.extension.test
