00:58:07 INF [Config] initial compatible provider name=Auto
00:58:07 INF [Config] initial compatible provider name=Scholar
00:58:07 INF [Config] initial compatible provider name=Video
00:58:07 INF [Config] initial compatible provider name=Steam
00:58:07 INF [Config] initial compatible provider name=Auto-Failover
00:58:07 INF [Config] initial compatible provider name=Auto-Fast
00:58:07 INF [Config] initial compatible provider name=Proxy
00:58:07 INF [Config] initial compatible provider name=Express
00:58:07 INF [Config] initial compatible provider name=Netflix
00:58:07 INF [Config] initial compatible provider name=Auto-Edge
00:58:07 INF [Inbound] Mixed(http+socks) listening addr=127.0.0.1:7890
00:58:07 INF [API] listening addr=127.0.0.1:46829
00:58:08 INF [Config] initial compatible provider name=节点选择
00:58:08 INF [Config] initial compatible provider name=故障转移
00:58:08 INF [Config] initial compatible provider name=自动选择
00:58:08 INF [DNS] server listening addr=127.0.0.1:8853
00:58:14 INF [TCP] connected lAddr=127.0.0.1:50240 rAddr=downloads.vivaldi.com:443 mode=rule rule=DomainSuffix(vivaldi.com) proxy=节点选择[新加坡10]
00:58:17 INF [TCP] connected lAddr=127.0.0.1:50258 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
00:58:17 INF [TCP] connected lAddr=127.0.0.1:50250 rAddr=mtalk.google.com:5228 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
00:58:18 INF [TCP] connected lAddr=127.0.0.1:50276 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
00:58:18 INF [TCP] connected lAddr=127.0.0.1:50260 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=节点选择[新加坡10]
00:58:18 INF [TCP] connected lAddr=127.0.0.1:50286 rAddr=ocsp.pki.goog:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
00:58:18 INF [TCP] connected lAddr=127.0.0.1:50290 rAddr=ocsp.pki.goog:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
00:58:28 INF [TCP] connected lAddr=127.0.0.1:51592 rAddr=www.appicon.co:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
00:58:28 INF [TCP] connected lAddr=127.0.0.1:51596 rAddr=www.appicon.co:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
00:58:29 INF [TCP] connected lAddr=127.0.0.1:51602 rAddr=www.appicon.co:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
00:58:29 INF [TCP] connected lAddr=127.0.0.1:50622 rAddr=www.appicon.co:443 mode=rule rule=Match() proxy=节点选择[新加坡10]
00:58:30 INF [TCP] connected lAddr=127.0.0.1:50652 rAddr=space.bilibili.com:443 mode=rule rule=DomainSuffix(bilibili.com) proxy=DIRECT
00:58:30 INF [TCP] connected lAddr=127.0.0.1:50638 rAddr=www.bilibili.com:443 mode=rule rule=DomainSuffix(bilibili.com) proxy=DIRECT
00:58:30 INF [TCP] connected lAddr=127.0.0.1:50660 rAddr=api.flutter-io.cn:443 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
00:58:39 INF [TCP] connected lAddr=127.0.0.1:33540 rAddr=wj.qq.com:443 mode=rule rule=DomainSuffix(qq.com) proxy=DIRECT
00:58:40 INF [TCP] connected lAddr=127.0.0.1:33546 rAddr=ocsp.digicert.cn:80 mode=rule rule=DomainSuffix(cn) proxy=DIRECT
00:58:40 INF [TCP] connected lAddr=127.0.0.1:33612 rAddr=wj-assets.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
00:58:40 INF [TCP] connected lAddr=127.0.0.1:33582 rAddr=wj-assets.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
00:58:40 INF [TCP] connected lAddr=127.0.0.1:33576 rAddr=wj-assets.gtimg.com:443 mode=rule rule=DomainSuffix(gtimg.com) proxy=DIRECT
